Dyad,Condition,Role,Node,Strength
dyad11,instruct,baby,S5,3.342
dyad11,instruct,baby,S6,4.198
dyad11,instruct,baby,S7,5.045
dyad11,instruct,baby,S8,5.117
dyad11,instruct,baby,S9,4.96
dyad11,instruct,baby,S10,4.837
dyad11,instruct,baby,S11,4.981
dyad11,instruct,baby,S12,6.131
dyad11,instruct,baby,S13,6.292
dyad11,instruct,baby,S14,6.533
dyad11,instruct,baby,S15,5.757
dyad11,instruct,baby,S16,4.941
dyad11,instruct,baby,S17,4.203
dyad11,instruct,baby,S18,2.739
dyad11,instruct,perant,S1,11.516
dyad11,instruct,perant,S2,9.48
dyad11,instruct,perant,S3,9.951
dyad11,instruct,perant,S4,8.393
dyad11,instruct,perant,S5,10.242
dyad11,instruct,perant,S6,10.796
dyad11,instruct,perant,S7,7.756
dyad11,instruct,perant,S8,11.391
dyad11,instruct,perant,S9,8.086
dyad11,instruct,perant,S10,8.698
dyad11,instruct,perant,S11,7.971
dyad11,instruct,perant,S12,7.774
dyad11,instruct,perant,S13,10.757
dyad11,instruct,perant,S14,10.384
dyad11,instruct,perant,S15,9.991
dyad11,instruct,perant,S16,11.116
dyad11,instruct,perant,S17,10.81
dyad11,instruct,perant,S18,9.814
dyad13,elicit,baby,S1,3.067
dyad13,elicit,baby,S2,3.814
dyad13,elicit,baby,S3,4.675
dyad13,elicit,baby,S4,7.243
dyad13,elicit,baby,S5,5.538
dyad13,elicit,baby,S6,4.954
dyad13,elicit,baby,S7,3.185
dyad13,elicit,baby,S8,6.325
dyad13,elicit,baby,S9,5.514
dyad13,elicit,baby,S10,4.026
dyad13,elicit,baby,S11,4.982
dyad13,elicit,baby,S12,5.363
dyad13,elicit,baby,S13,4.77
dyad13,elicit,baby,S14,3.707
dyad13,elicit,baby,S15,4.891
dyad13,elicit,baby,S16,3.008
dyad13,elicit,baby,S17,7.268
dyad13,elicit,baby,S18,4.408
dyad13,elicit,perant,S1,9.251
dyad13,elicit,perant,S2,6.175
dyad13,elicit,perant,S3,7.865
dyad13,elicit,perant,S4,9.594
dyad13,elicit,perant,S5,5.916
dyad13,elicit,perant,S6,6.145
dyad13,elicit,perant,S7,6.659
dyad13,elicit,perant,S8,8.926
dyad13,elicit,perant,S9,6.49
dyad13,elicit,perant,S10,1.345
dyad13,elicit,perant,S11,8.691
dyad13,elicit,perant,S12,7.946
dyad13,elicit,perant,S13,7.175
dyad13,elicit,perant,S14,6.857
dyad13,elicit,perant,S15,7.934
dyad13,elicit,perant,S16,1.499
dyad13,elicit,perant,S17,8.536
dyad13,elicit,perant,S18,8.61
dyad13,free,baby,S1,5.814
dyad13,free,baby,S2,7.563
dyad13,free,baby,S3,4.548
dyad13,free,baby,S4,5.456
dyad13,free,baby,S5,2.536
dyad13,free,baby,S6,7.204
